kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_duration,koi_depth
Kepler-1078 b,CONFIRMED,CANDIDATE,3.00725068,4.4302,285.8
Kepler-1079 b,CONFIRMED,CANDIDATE,13.24503482,4.4078,156.1
Kepler-108 b,CONFIRMED,CANDIDATE,49.18394185,11.3364,1646.2
Kepler-108 c,CONFIRMED,CANDIDATE,190.3200468,15.284,1141.7
Kepler-1080 b,CONFIRMED,CANDIDATE,77.2550726,10.214,589.5
Kepler-1081 b,CONFIRMED,CANDIDATE,3.85690686,2.0808,127.8
Kepler-1082 b,CONFIRMED,CANDIDATE,1.54320541,2.5779,91.2
Kepler-1083 b,CONFIRMED,CANDIDATE,33.4178173,4.645,1166.8
Kepler-1084 b,CONFIRMED,CANDIDATE,2.053341891,2.596,65.5
Kepler-1085 b,CONFIRMED,CANDIDATE,219.3215562,12.4124,3628.7
Kepler-1085 c,CONFIRMED,CANDIDATE,56.7769831,6.864,884.3
Kepler-1086 b,CONFIRMED,CANDIDATE,18.78429232,3.1136,1009.5
Kepler-1086 c,CONFIRMED,CANDIDATE,161.515617,6.548,2215.3
Kepler-1087 b,CONFIRMED,CANDIDATE,0.693842661,1.6197,49.3
Kepler-1088 b,CONFIRMED,CANDIDATE,23.1274171,4.901,157.3
Kepler-1089 b,CONFIRMED,CANDIDATE,5.132486123,1.4575,908.4
Kepler-109 b,CONFIRMED,CANDIDATE,6.481633073,3.784,298.5
Kepler-109 c,CONFIRMED,CANDIDATE,21.22261195,6.5093,366.0
Kepler-1090 b,CONFIRMED,CANDIDATE,198.680859,8.282,645.4
Kepler-1090 c,CONFIRMED,CANDIDATE,42.4269647,5.907,632.4
Kepler-1091 b,CONFIRMED,CANDIDATE,1.434745129,1.862,200.7
Kepler-1092 b,CONFIRMED,CANDIDATE,58.601926,5.522,396.4
Kepler-1093 b,CONFIRMED,CANDIDATE,25.0823402,6.423,244.6
Kepler-1093 c,CONFIRMED,CANDIDATE,89.7224125,10.963,263.7
Kepler-1094 b,CONFIRMED,CANDIDATE,78.0998908,8.422,656.9
Kepler-1095 b,CONFIRMED,CANDIDATE,4.27103727,2.2759,180.4
Kepler-1096 b,CONFIRMED,CANDIDATE,2.892216772,1.3596,360.5
Kepler-1097 b,CONFIRMED,CANDIDATE,187.746606,5.885,1583.0
Kepler-1098 b,CONFIRMED,CANDIDATE,2.543063763,2.8473,152.0
Kepler-1099 b,CONFIRMED,CANDIDATE,2.168451063,1.458,466.9
Kepler-11 b,CONFIRMED,CANDIDATE,10.30401132,4.2246,316.1
Kepler-11 c,CONFIRMED,CANDIDATE,13.02493307,4.5706,778.4
Kepler-11 d,CONFIRMED,CANDIDATE,22.687155,5.4921,960.0
Kepler-11 e,CONFIRMED,CANDIDATE,31.99552485,4.2817,1376.1
Kepler-11 f,CONFIRMED,CANDIDATE,46.6856205,6.3794,588.8
Kepler-11 g,CONFIRMED,CANDIDATE,118.3786735,9.5574,1083.3
Kepler-110 b,CONFIRMED,CANDIDATE,12.69104387,3.7727,252.1
Kepler-110 c,CONFIRMED,CANDIDATE,31.71981013,4.819,363.4
Kepler-1100 b,CONFIRMED,CANDIDATE,6.42199919,2.6192,161.6
Kepler-1101 b,CONFIRMED,CANDIDATE,81.3153052,5.807,715.5
Kepler-1102 b,CONFIRMED,CANDIDATE,51.3283527,9.357,692.3
Kepler-1103 b,CONFIRMED,CANDIDATE,19.7919389,3.787,383.7
Kepler-1104 b,CONFIRMED,CANDIDATE,5.03728033,2.0619,76.3
Kepler-1105 b,CONFIRMED,CANDIDATE,4.421566535,2.1229,684.0
Kepler-1106 b,CONFIRMED,CANDIDATE,1.252753881,2.1472,200.0
Kepler-1107 b,CONFIRMED,CANDIDATE,0.571038347,1.1267,242.1
Kepler-1108 b,CONFIRMED,CANDIDATE,4.51005082,2.1533,294.8
Kepler-1109 b,CONFIRMED,CANDIDATE,37.6468519,6.344,427.4
Kepler-111 b,CONFIRMED,CANDIDATE,3.341799486,2.9254,178.2
Kepler-111 c,CONFIRMED,CANDIDATE,224.7789355,11.1899,3487.5
Kepler-1110 b,CONFIRMED,CANDIDATE,9.69310837,2.734,1130.7
Kepler-1111 b,CONFIRMED,CANDIDATE,8.79618433,3.3781,286.3
Kepler-1112 b,CONFIRMED,CANDIDATE,14.36270451,4.564,349.4
Kepler-1113 b,CONFIRMED,CANDIDATE,42.3006282,4.372,507.9
Kepler-1114 b,CONFIRMED,CANDIDATE,14.97436238,2.4461,265.4
Kepler-1115 b,CONFIRMED,CANDIDATE,23.5541012,7.3,95.2
